"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"14433"	0.00238850887763231	0.997611491122368	0.00744167417293562	0.000139293678822988	0	71.7807667059884
"57908"	0.00280660190251159	0.997193398097488	0.00828510492968537	0.000155210485563955	0	64.4186367874254
"67749"	0.00369310330967021	0.99630689669033	0.00846570104884787	0.00829910986235399	26.0794093725364	3143.62947522636
"58869"	0.00370759150614008	0.99629240849386	0.00998215356554137	0.000187316984599228	0	53.3754419095811
"114230"	0.00504477139244142	0.994955228607559	0.012289690498835	0.000231146996413047	0	43.2525132715571
"27050"	0.00504477139244142	0.994955228607559	0.012289690498835	0.000231146996413047	0	43.2525132715571
"21417"	0.00573947642269512	0.994260523577305	0.0134175781840172	0.000252643610236431	0	39.5714483122756
"12075"	0.00586344435748454	0.994136555642515	0.0114841420139224	0.0112588272947843	26.0794093725364	2317.23039186768
"16832"	0.00740774861105753	0.992592251388942	0.0159848476752402	0.000301753932965148	0	33.1295846335331
"15193"	0.00771092872626489	0.992289071273735	0.0164340520140147	0.000310372798015224	0	32.2093183937127
"96875"	0.00780743424069208	0.992192565759308	40.019083033269	47.4569617765112	131.483688919871	2.76079871946109
"20255"	0.00803501327530598	0.991964986724694	0.0169092333314832	0.00031949849314387	0	31.2890521538924
"11928"	0.00888422519863719	0.991115774801363	0.0144503970621326	0.0142305602640227	33.6859037728595	2367.8450350578
"76895"	0.00945534997708952	0.99054465002291	35.7370389020229	42.3586676838227	117.357342176414	2.76079871946109
"14027"	0.0100513255752073	0.989948674424793	0.0197669900013606	0.000374563807035583	0	26.6877209547905
"11674"	0.0105550876743391	0.989444912325661	0.0204585109592102	0.000387935896331632	0	25.7674547149702
"212127"	0.0111784486843712	0.988821551315629	35.3251721656906	1848.29149722133	18.4729149722133	0
"68094"	0.0113065578927816	0.988693442107218	0.0243245609944861	0.01654829944781	1.08664205718902	66.2591692670662
"380684"	0.0129815019343062	0.987018498065694	0.0113410264439088	0.0113265892026432	409.664055560259	36169.2240236597
"16011"	0.013556700324287	0.986443299675713	31.2869166167858	1630.96308578353	16.2996308578353	0
"21955"	0.0156405340293557	0.984359465970644	0.0270932520807421	0.000517180984085966	0	19.3255910362276
"54723"	0.0168133644953762	0.983186635504624	27.248661067881	1413.63467434572	14.1263467434572	0
"28081"	0.0189149128023013	0.981085087197699	25.2295332934286	1304.97046862682	13.0397046862682	0
"12966"	0.0206698477455802	0.97933015225442	0.033256130984448	0.00063879289292102	0	15.6445260769462
"100503043"	0.0214489193327555	0.978551080667244	23.2104055189763	1196.30626290792	11.9530626290792	0
"237943"	0.0223507242266483	0.977649275773352	0.0352613481701363	0.000678690352317737	0	14.7242598371258
"230484"	0.0245441824540233	0.975455817545977	21.1912777445239	1087.64205718902	10.8664205718902	0
"672682"	0.0272683740837941	0.972731625916206	0.0419753895120327	0.038405220101026	5.43321028594508	141.721000932336
"26451"	0.0272905229655015	0.972709477034499	0.0457587791407958	0.0313504398410379	1.08664205718902	34.9701171131738
"13602"	0.0285989732999437	0.971401026700056	0.0214547415401608	0.0214102742447371	248.841031096285	11622.9626089312
"22138"	0.0290324736006972	0.970967526399303	17.5056479725748	26.8770017067108	24.9927673153474	0.920266239820363
"16998"	0.0293451790301792	0.970654820969821	0.0356108930265943	0.0347957400949418	21.7328411437803	624.860776838027
"100101807"	0.0304414768603154	0.969558523139685	0.0446932611578616	0.000868558595911652	0	11.5033279977545
"73385"	0.0304414768603154	0.969558523139685	0.0446932611578616	0.000868558595911652	0	11.5033279977545
"234388"	0.0319868132760054	0.968013186723995	0.0464689450104773	0.00090471579579625	0	11.0431948778444
"67097"	0.0332208228941048	0.966779177105895	17.1530221956191	870.313645751213	8.69313645751213	0
"17758"	0.0339470922772369	0.966052907722763	20.9419402295855	21.3819639761629	511.808408936027	23.9269222353294
"223989"	0.0354904171450711	0.964509582854929	0.0504801437365738	0.000986881518386976	0	10.122928638024
"94213"	0.0354904171450711	0.964509582854929	0.0504801437365738	0.000986881518386976	0	10.122928638024
"12842"	0.0355197500539535	0.964480249946047	0.055900094858541	0.0384270908417235	1.08664205718902	28.5282534344313
"18949"	0.0375935776517828	0.962406422348217	0.0560873337499704	0.0486672666156259	3.25992617156705	67.1794355068865
"69743"	0.0391462236326154	0.960853776367385	0.0156229283790381	0.0156204445490495	3269.70595008175	209322.8386433
"229279"	0.0394471390837354	0.960552860916265	15.1338944211667	761.649440032312	7.60649440032312	0
"53885"	0.0394471390837354	0.960552860916265	15.1338944211667	761.649440032312	7.60649440032312	0
"12709"	0.0396660035541808	0.960333996445819	0.0552492590563807	0.00108546254793293	0	9.20266239820364
"212880"	0.0396660035541808	0.960333996445819	0.0552492590563807	0.00108546254793293	0	9.20266239820364
"66395"	0.0396660035541808	0.960333996445819	0.0552492590563807	0.00108546254793293	0	9.20266239820364
"18193"	0.0443695556148704	0.95563044438513	13.0352197743871	19.8684142034246	18.4729149722133	0.920266239820363
"114641"	0.0447055616599116	0.955294438340088	0.0610135154492015	0.00120592405488134	0	8.28239615838327
"13808"	0.0447055616599116	0.955294438340088	0.0610135154492015	0.00120592405488134	0	8.28239615838327
"66511"	0.0447055616599116	0.955294438340088	0.0610135154492015	0.00120592405488134	0	8.28239615838327
"214111"	0.0475766206582664	0.952423379341734	0.0342114135209791	0.0340945958938408	148.869961834895	4366.66330794763
"320661"	0.0476491766210011	0.952350823378999	13.1147666467143	652.98523431341	6.5198523431341	0
